Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
02;02;01;24;07;002;Organismos Internacionales;90737;0
02;02;01;29;00;000;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;521209;0
02;02;01;29;06;000;Equipos Informáticos;412683;0
02;02;01;29;07;000;Programas Informáticos;108526;0
02;02;01;34;00;000;SERVICIO DE LA DEUDA;10;0
02;02;01;34;07;000;Deuda Flotante;10;0
02;03;01;07;00;000;INGRESOS DE OPERACIÓN;104;0
02;03;01;07;02;000;Venta de Servicios;104;0
02;03;01;08;00;000;OTROS INGRESOS CORRIENTES;101043;0
02;03;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;101043;0
02;03;01;09;00;000;APORTE FISCAL;13328636;0
02;03;01;09;01;000;Libre;13065842;0
02;03;01;09;03;000;Servicio de la Deuda Externa;262794;0
02;03;01;12;00;000;RECUPERACIÓN DE PRÉSTAMOS;21007;0
02;03;01;12;10;000;Ingresos por Percibir;21007;0
02;03;01;15;00;000;SALDO INICIAL DE CAJA;10;0
02;03;01;21;00;000;GASTOS EN PERSONAL;11392638;0
02;03;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;1501820;0
02;03;01;24;00;000;TRANSFERENCIAS CORRIENTES;127515;0
02;03;01;24;03;000;A Otras Entidades Públicas;127515;0
02;03;01;24;03;001;Programa Formación Cívica;111855;0
02;03;01;24;03;002;Programa de Inclusión;15660;0
02;03;01;29;00;000;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;166023;0
02;03;01;29;06;000;Equipos Informáticos;53670;0
02;03;01;29;07;000;Programas Informáticos;112353;0
02;03;01;34;00;000;SERVICIO DE LA DEUDA;262804;0
02;03;01;34;02;000;Amortización Deuda Externa;248203;0
02;03;01;34;04;000;Intereses Deuda Externa;14591;0
02;03;01;34;07;000;Deuda Flotante;10;0
02;04;01;09;00;000;APORTE FISCAL;536581;0
02;04;01;09;01;000;Libre;536581;0
02;04;01;15;00;000;SALDO INICIAL DE CAJA;10;0
02;04;01;21;00;000;GASTOS EN PERSONAL;500847;0
02;04;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;35734;0
02;04;01;34;00;000;SERVICIO DE LA DEUDA;10;0
02;04;01;34;07;000;Deuda Flotante;10;0
02;04;02;09;00;000;APORTE FISCAL;795583;0
02;04;02;09;01;000;Libre;795583;0
02;04;02;21;00;000;GASTOS EN PERSONAL;766051;0
02;04;02;22;00;000;BIENES Y SERVICIOS DE CONSUMO;29532;0
03;01;01;08;00;000;OTROS INGRESOS CORRIENTES;7457447;0
03;01;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;7457447;0
03;01;01;09;00;000;APORTE FISCAL;409557878;0
03;01;01;09;01;000;Libre;409557878;0
03;01;01;21;00;000;GASTOS EN PERSONAL;417015325;0
03;01;02;09;00;000;APORTE FISCAL;23220492;0
03;01;02;09;01;000;Libre;23220492;0
03;01;02;21;00;000;GASTOS EN PERSONAL;23220492;0
03;03;01;06;00;000;RENTAS DE LA PROPIEDAD;122845;0
03;03;01;06;01;000;Arriendo de Activos No Financieros;122845;0
03;03;01;07;00;000;INGRESOS DE OPERACIÓN;128200;0
03;03;01;07;02;000;Venta de Servicios;128200;0
03;03;01;08;00;000;OTROS INGRESOS CORRIENTES;5157263;0
03;03;01;08;99;000;Otros;5157263;0
03;03;01;09;00;000;APORTE FISCAL;137490255;0
03;03;01;09;01;000;Libre;137490255;0
03;03;01;12;00;000;RECUPERACIÓN DE PRÉSTAMOS;255070;0
03;03;01;12;07;000;Por Anticipos por Cambio de Residencia;255070;0
03;03;01;15;00;000;SALDO INICIAL DE CAJA;10;0
03;03;01;21;00;000;GASTOS EN PERSONAL;18295513;0
03;03;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;79341488;0
03;03;01;23;00;000;PRESTACIONES DE SEGURIDAD SOCIAL;3049906;0
03;03;01;23;03;000;Prestaciones Sociales del Empleador;3049906;0
03;03;01;24;00;000;TRANSFERENCIAS CORRIENTES;6807557;0
03;03;01;24;01;000;Al Sector Privado;160111;0
03;03;01;24;01;002;Becas Postgrado;160111;0
03;03;01;24;02;000;Al Gobierno Central;6646715;0
03;03;01;24;02;001;Programa de Concesiones Ministerio de Justicia;6646715;0
03;03;01;24;07;000;A Organismos Internacionales;731;0
03;03;01;24;07;001;Organismo Internacional I.A.S.A.J.;313;0
03;03;01;24;07;002;Asociación Iberoamericana de Tribunales de Justicia Fiscal o Administrativa;418;0
03;03;01;29;00;000;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;4768234;0
03;03;01;29;03;000;Vehículos;19546;0
03;03;01;29;05;000;Máquinas y Equipos;229680;0
03;03;01;29;06;000;Equipos Informáticos;1685372;0
03;03;01;29;07;000;Programas Informáticos;2833636;0
03;03;01;31;00;000;INICIATIVAS DE INVERSIÓN;30635865;0
03;03;01;31;02;000;Proyectos;30635865;0
03;03;01;32;00;000;PRÉSTAMOS;255070;0
03;03;01;32;07;000;Por Anticipos por Cambio de Residencia;255070;0
03;03;01;34;00;000;SERVICIO DE LA DEUDA;10;0
03;03;01;34;07;000;Deuda Flotante;10;0
03;04;01;08;00;000;OTROS INGRESOS CORRIENTES;1068;0
03;04;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;1068;0
03;04;01;09;00;000;APORTE FISCAL;3275813;0
03;04;01;09;01;000;Libre;3275813;0
03;04;01;15;00;000;SALDO INICIAL DE CAJA;10;0
03;04;01;21;00;000;GASTOS EN PERSONAL;1135034;0
03;04;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;478728;0
03;04;01;24;00;000;TRANSFERENCIAS CORRIENTES;1663119;0
03;04;01;24;01;000;Al Sector Privado;1663119;0
03;04;01;24;01;017;Programa de Formación;1066408;0
03;04;01;24;01;018;Programa de Perfeccionamiento;505885;0
03;04;01;24;01;020;Programa  de Perfeccionamiento Extraordinario;90826;0
03;04;01;34;00;000;SERVICIO DE LA DEUDA;10;0
03;04;01;34;07;000;Deuda Flotante;10;0
04;01;01;08;00;000;OTROS INGRESOS CORRIENTES;1380787;0
04;01;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;1022957;0
04;01;01;08;02;000;Multas y Sanciones Pecuniarias;37;0
04;01;01;08;99;000;Otros;357793;0
04;01;01;09;00;000;APORTE FISCAL;86210348;0
04;01;01;09;01;000;Libre;85844141;0
04;01;01;09;03;000;Servicio de la Deuda Externa;366207;0
04;01;01;10;00;000;VENTA DE ACTIVOS NO FINANCIEROS;40;0
04;01;01;10;03;000;Vehículos;10;0
04;01;01;10;04;000;Mobiliario y Otros;10;0
04;01;01;10;05;000;Máquinas y Equipos;10;0
04;01;01;10;99;000;Otros Activos no Financieros;10;0
04;01;01;12;00;000;RECUPERACIÓN DE PRÉSTAMOS;160822;0
04;01;01;12;10;000;Ingresos por Percibir;160822;0
04;01;01;15;00;000;SALDO INICIAL DE CAJA;10;0
04;01;01;21;00;000;GASTOS EN PERSONAL;70518289;0
04;01;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;10456420;0
04;01;01;24;00;000;TRANSFERENCIAS CORRIENTES;24766;0
04;01;01;24;01;000;Al Sector Privado;16107;0
04;01;01;24;01;006;Otras Transferencias;16107;0
04;01;01;24;07;000;A Organismos Internacionales;8659;0
04;01;01;24;07;002;A Organismos Internacionales;8659;0
04;01;01;25;00;000;INTEGROS AL FISCO;1026352;0
04;01;01;25;01;000;Impuestos;3395;0
04;01;01;25;99;000;Otros Integros al Fisco;1022957;0
04;01;01;29;00;000;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;2175711;0
04;01;01;29;06;000;Equipos Informáticos;817767;0
04;01;01;29;07;000;Programas Informáticos;1357944;0
04;01;01;31;00;000;INICIATIVAS DE INVERSIÓN;3184252;0
04;01;01;31;02;000;Proyectos;3184252;0
04;01;01;34;00;000;SERVICIO DE LA DEUDA;366217;0
04;01;01;34;02;000;Amortización Deuda Externa;357946;0
04;01;01;34;04;000;Intereses Deuda Externa;8261;0
04;01;01;34;07;000;Deuda Flotante;10;0
05;02;01;05;00;000;TRANSFERENCIAS CORRIENTES;20;0
05;02;01;05;01;000;Del Sector Privado;10;0
05;02;01;05;01;001;Donaciones;10;0
05;02;01;05;02;000;Del Gobierno Central;10;0
05;02;01;05;02;201;Recuperación de Licencias Médicas - FONASA;10;0
05;02;01;08;00;000;OTROS INGRESOS CORRIENTES;486060;0
05;02;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;468696;0
05;02;01;08;02;000;Multas y Sanciones Pecuniarias;10;0
05;02;01;08;99;000;Otros;17354;0
05;02;01;09;00;000;APORTE FISCAL;72086394;0
05;02;01;09;01;000;Libre;72086394;0
05;02;01;10;00;000;VENTA DE ACTIVOS NO FINANCIEROS;21145;0
05;02;01;10;03;000;Vehículos;21145;0
05;02;01;15;00;000;SALDO INICIAL DE CAJA;10;0
05;02;01;21;00;000;GASTOS EN PERSONAL;37160564;0
05;02;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;5476055;0
05;02;01;24;00;000;TRANSFERENCIAS CORRIENTES;10594257;0
05;02;01;24;03;000;A Otras Entidades Públicas;10594257;0
05;02;01;24;03;012;Administración de Complejos Fronterizos;8327089;0
05;02;01;24;03;800;Programa de Coordinación, Orden Público y Gestión Territorial;1918292;0
05;02;01;24;03;801;Programa Barrios Transitorios de Emergencias;182857;0
05;02;01;24;03;802;Plan Regional y Descentralizacion;166019;0
05;02;01;25;00;000;INTEGROS AL FISCO;468696;0
05;02;01;25;99;000;Otros Integros al Fisco;468696;0
05;02;01;29;00;000;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;52562;0
05;02;01;29;07;000;Programas Informáticos;52562;0
05;02;01;31;00;000;INICIATIVAS DE INVERSIÓN;1695747;0
05;02;01;31;02;000;Proyectos;1695747;0
05;02;01;33;00;000;TRANSFERENCIAS DE CAPITAL;17145738;0
05;02;01;33;01;000;Al Sector Privado;17145738;0
05;02;01;33;01;001;Pago a Concesiones de Complejos Fronterizos;16385199;0
05;02;01;33;01;002;Reintegro Crédito IVA  Concesiones;760539;0
05;02;01;34;00;000;SERVICIO DE LA DEUDA;10;0
05;02;01;34;07;000;Deuda Flotante;10;0
05;04;01;05;00;000;TRANSFERENCIAS CORRIENTES;10;0
05;04;01;05;02;000;Del Gobierno Central;10;0
05;04;01;05;02;201;Recuperación de Licencias Médicas - FONASA;10;0
05;04;01;08;00;000;OTROS INGRESOS CORRIENTES;123923;0
05;04;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;112344;0
05;04;01;08;99;000;Otros;11579;0
05;04;01;09;00;000;APORTE FISCAL;16300421;0
05;04;01;09;01;000;Libre;16300421;0
05;04;01;15;00;000;SALDO INICIAL DE CAJA;10;0
05;04;01;21;00;000;GASTOS EN PERSONAL;8800340;0
05;04;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;3651614;0
05;04;01;24;00;000;TRANSFERENCIAS CORRIENTES;3529777;0
05;04;01;24;01;000;Al Sector Privado;353581;0
05;04;01;24;01;041;Al Sector Privado;353581;0
05;04;01;24;02;000;Al Gobierno Central;269020;0
05;04;01;24;02;001;Red de Respaldo de Telecomunicaciones - Ejército de Chile;269020;0
05;04;01;24;03;000;A Otras Entidades Públicas;2907176;0
05;04;01;24;03;017;Capacitación en Protección Civil;165533;0
05;04;01;24;03;018;Universidad de Chile - Red Sismológica;2741643;0
05;04;01;25;00;000;INTEGROS AL FISCO;112344;0
05;04;01;25;99;000;Otros Integros al Fisco;112344;0
05;04;01;29;00;000;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;330279;0
05;04;01;29;05;000;Máquinas y Equipos;191636;0
05;04;01;29;07;000;Programas Informáticos;138643;0
05;04;01;34;00;000;SERVICIO DE LA DEUDA;10;0
05;04;01;34;07;000;Deuda Flotante;10;0
05;05;01;05;00;000;TRANSFERENCIAS CORRIENTES;45397;0
05;05;01;05;02;000;Del Gobierno Central;10;0
05;05;01;05;02;201;Recuperación de Licencias Médicas - FONASA;10;0
05;05;01;05;06;000;De Gobiernos Extranjeros;45387;0
05;05;01;05;06;001;Del Gobierno Español - Instituto de Crédito Oficial de España;45387;0
05;05;01;08;00;000;OTROS INGRESOS CORRIENTES;155587;0
05;05;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;155587;0
05;05;01;09;00;000;APORTE FISCAL;33631630;0
05;05;01;09;01;000;Libre;17957990;0
05;05;01;09;03;000;Servicio de la Deuda Externa;15673640;0
05;05;01;15;00;000;SALDO INICIAL DE CAJA;10;0
05;05;01;21;00;000;GASTOS EN PERSONAL;15462685;0
05;05;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;2127733;0
05;05;01;24;00;000;TRANSFERENCIAS CORRIENTES;253879;0
05;05;01;24;03;000;A Otras Entidades Públicas;253879;0
05;05;01;24;03;024;Capacitación en Desarrollo Regional y Comunal;10;0
05;05;01;24;03;409;Oficina Revitalización de Barrios e Infraestructura Patrimonial;208482;0
05;05;01;24;03;415;Oficina Donación Española;45387;0
05;05;01;25;00;000;INTEGROS AL FISCO;155587;0
05;05;01;25;99;000;Otros Integros al Fisco;155587;0
05;05;01;29;00;000;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;159090;0
05;05;01;29;07;000;Programas Informáticos;159090;0
05;05;01;34;00;000;SERVICIO DE LA DEUDA;15673650;0
05;05;01;34;02;000;Amortización Deuda Externa;13192408;0
05;05;01;34;04;000;Intereses Deuda Externa;2263826;0
05;05;01;34;06;000;Otros Gastos Financieros Deuda Externa;217406;0
05;05;01;34;07;000;Deuda Flotante;10;0
05;05;02;09;00;000;APORTE FISCAL;7732345;0
05;05;02;09;01;000;Libre;7732345;0
05;05;02;15;00;000;SALDO INICIAL DE CAJA;10;0
05;05;02;24;00;000;TRANSFERENCIAS CORRIENTES;6568412;0
05;05;02;24;03;000;A Otras Entidades Públicas;6568412;0
05;05;02;24;03;026;Programa Academia Capacitación Municipal y Regional;1303087;0
05;05;02;24;03;033;Fondo Concursable  Becas - Ley N°20.742;2609460;0
05;05;02;24;03;034;Programa de Apoyo al Mejoramiento de la Gestión y de Servicios Municipales;90486;0
05;05;02;24;03;500;Municipalidades (Prevención y Mitigación de Riesgos);181473;0
05;05;02;24;03;602;Municipalidades (Programa de Modernización);2383906;0
05;05;02;33;00;000;TRANSFERENCIAS DE CAPITAL;1163933;0
05;05;02;33;03;000;A Otras Entidades Públicas;1163933;0
05;05;02;33;03;602;Municipalidades (Programa de Modernización);1163933;0
05;05;02;34;00;000;SERVICIO DE LA DEUDA;10;0
05;05;02;34;07;000;Deuda Flotante;10;0
05;05;03;08;00;000;OTROS INGRESOS CORRIENTES;10;0
05;05;03;08;99;000;Otros;10;0
05;05;03;09;00;000;APORTE FISCAL;192390125;0
05;05;03;09;01;000;Libre;192390125;0
05;05;03;13;00;000;TRANSFERENCIAS PARA GASTOS DE CAPITAL;48038784;0
05;05;03;13;02;000;Del Gobierno Central;48038784;0
05;05;03;13;02;029;Servicio Nacional del Patrimonio Cultural, Programa 01;4161496;0
05;05;03;13;02;200;Fondo de Emergencia Transitorio;43877288;0
05;05;03;14;00;000;ENDEUDAMIENTO;4161484;0
05;05;03;14;02;000;Endeudamiento Externo;4161484;0
05;05;03;15;00;000;SALDO INICIAL DE CAJA;10;0
05;05;03;24;00;000;TRANSFERENCIAS CORRIENTES;73300176;0
05;05;03;24;03;000;A Otras Entidades Públicas;73300176;0
05;05;03;24;03;403;Municipalidades (Compensación por Predios Exentos);70437456;0
05;05;03;24;03;406;Programa de Tenencia Responsable de Animales de Compañía;2862720;0
05;05;03;25;00;000;INTEGROS AL FISCO;10;0
05;05;03;25;99;000;Otros Integros al Fisco;10;0
05;05;03;30;00;000;ADQUISICIÓN DE ACTIVOS FINANCIEROS;43877288;0
05;05;03;30;10;000;Fondo de Emergencia Transitorio;43877288;0
05;05;03;32;00;000;PRÉSTAMOS;9151948;0
05;05;03;32;04;000;De Fomento;9151948;0
05;05;03;32;04;002;Municipalidades;9151948;0
05;05;03;33;00;000;TRANSFERENCIAS DE CAPITAL;118260981;0
05;05;03;33;03;000;A Otras Entidades Públicas;118260981;0
05;05;03;33;03;110;Municipalidades (Fondo de Incentivo al Mejoramiento de la Gestión Municipal);15930849;0
05;05;03;33;03;111;Municipalidades (Programa Revitalización de Barrios e Infraestructura Patrimonial Emblemática);8322980;0
05;05;03;33;03;120;Fondo de Desarrollo Municipal;94007152;0
05;05;03;34;00;000;SERVICIO DE LA DEUDA;10;0
05;05;03;34;07;000;Deuda Flotante;10;0
05;05;05;09;00;000;APORTE FISCAL;78454742;0
05;05;05;09;01;000;Libre;78454742;0
05;05;05;33;00;000;TRANSFERENCIAS DE CAPITAL;78454742;0
05;05;05;33;03;000;A Otras Entidades Públicas;78454742;0
05;05;05;33;03;001;Provisión Fondo Nacional de Desarrollo Regional;43660135;0
05;05;05;33;03;432;Fondo de Apoyo Contingencia Regional;34794607;0
05;05;06;09;00;000;APORTE FISCAL;258455772;0
05;05;06;09;01;000;Libre;258455772;0
05;05;06;33;00;000;TRANSFERENCIAS DE CAPITAL;258455772;0
05;05;06;33;02;000;Al Gobierno Central;192441468;0
05;05;06;33;02;001;Programa Inversión Regional Región de Tarapacá;7919858;0
05;05;06;33;02;002;Programa Inversión Regional Región de Antofagasta;4691858;0
05;05;06;33;02;003;Programa Inversión Regional Región Atacama;18588472;0
05;05;06;33;02;004;Programa Inversión Regional Región Coquimbo;5309819;0
05;05;06;33;02;005;Programa Inversión Regional Región de Valparaiso;19542716;0
05;05;06;33;02;006;Programa Inversión Regional Región del Libertador General B. O'Higgins;7796297;0
05;05;06;33;02;007;Programa Inversión Regional Región del Maule;5316054;0
05;05;06;33;02;008;Programa Inversión Regional Región del BíoBío;2238314;0
05;05;06;33;02;009;Programa Inversión Regional Región de La Araucanía;40647679;0
05;05;06;33;02;010;Programa Inversión Regional Región de Los Lagos;9617004;0
05;05;06;33;02;011;Programa Inversión Regional Región de Aysén del General Carlos Ibáñez del Campo;19221976;0
05;05;06;33;02;012;Programa Inversión Regional Región de Magallanes y de la Antártica Chilena;14242477;0
05;05;06;33;02;013;Programa Inversión Regional Región Metropolitana;16167971;0
05;05;06;33;02;014;Programa Inversión Regional Región de Los Ríos;9480467;0
05;05;06;33;02;015;Programa Inversión Regional Región de Arica y Parinacota;10279055;0
05;05;06;33;02;016;Programa Inversión Regional Región de Ñuble;1381451;0
05;05;06;33;03;000;A Otras Entidades Públicas;66014304;0
05;05;06;33;03;433;Fondo de Equidad Interregional;66014304;0
05;07;01;05;00;000;TRANSFERENCIAS CORRIENTES;10;0
05;07;01;05;02;000;Del Gobierno Central;10;0
05;07;01;05;02;201;Recuperación de Licencias Médicas - FONASA;10;0
05;07;01;08;00;000;OTROS INGRESOS CORRIENTES;58138;0
05;07;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;56863;0
05;07;01;08;99;000;Otros;1275;0
05;07;01;09;00;000;APORTE FISCAL;7906952;0
05;07;01;09;01;000;Libre;7906952;0
05;07;01;15;00;000;SALDO INICIAL DE CAJA;10;0
05;07;01;21;00;000;GASTOS EN PERSONAL;6312860;0
05;07;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;1060471;0
05;07;01;25;00;000;INTEGROS AL FISCO;56873;0
05;07;01;25;99;000;Otros Integros al Fisco;56873;0
05;07;01;29;00;000;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;534896;0
05;07;01;29;02;000;Edificios;370796;0
05;07;01;29;06;000;Equipos Informáticos;56283;0
05;07;01;29;07;000;Programas Informáticos;107817;0
05;07;01;34;00;000;SERVICIO DE LA DEUDA;10;0
05;07;01;34;07;000;Deuda Flotante;10;0
05;08;01;05;00;000;TRANSFERENCIAS CORRIENTES;10;0
05;08;01;05;02;000;Del Gobierno Central;10;0
05;08;01;05;02;201;Recuperación de Licencias Médicas - FONASA;10;0
05;08;01;08;00;000;OTROS INGRESOS CORRIENTES;20;0
05;08;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;10;0
05;08;01;08;99;000;Otros;10;0
05;08;01;09;00;000;APORTE FISCAL;45532611;0
05;08;01;09;01;000;Libre;45016715;0
05;08;01;09;03;000;Servicio de la Deuda Externa;515896;0
05;08;01;15;00;000;SALDO INICIAL DE CAJA;10;0
05;08;01;21;00;000;GASTOS EN PERSONAL;13994733;0
05;08;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;1450108;0
05;08;01;24;00;000;TRANSFERENCIAS CORRIENTES;29499577;0
05;08;01;24;02;000;Al Gobierno Central;1071257;0
05;08;01;24;02;002;Encuesta Nacional Urbana de Seguridad Ciudadana - INE;1071257;0
05;08;01;24;03;000;A Otras Entidades Públicas;28428320;0
05;08;01;24;03;041;Programa de Gestión en Seguridad Ciudadana;3444936;0
05;08;01;24;03;109;Red Nacional de Seguridad Pública;3868601;0
05;08;01;24;03;111;Programa de Innovación y Tecnología para la Prevención del Delito;1438556;0
05;08;01;24;03;112;Plan Calle Segura;6679634;0
05;08;01;24;03;113;Programa Seguridad en mi Barrio;5671395;0
05;08;01;24;03;114;Programa Sistema Lazos;7106756;0
05;08;01;24;03;115;Programa Denuncia Seguro;218442;0
05;08;01;25;00;000;INTEGROS AL FISCO;20;0
05;08;01;25;99;000;Otros Integros al Fisco;20;0
05;08;01;29;00;000;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;72307;0
05;08;01;29;04;000;Mobiliario y Otros;1566;0
05;08;01;29;06;000;Equipos Informáticos;50715;0
05;08;01;29;07;000;Programas Informáticos;20026;0
05;08;01;34;00;000;SERVICIO DE LA DEUDA;515906;0
05;08;01;34;02;000;Amortización Deuda Externa;507602;0
05;08;01;34;04;000;Intereses Deuda Externa;8294;0
05;08;01;34;07;000;Deuda Flotante;10;0
05;08;02;09;00;000;APORTE FISCAL;1892035;0
05;08;02;09;01;000;Libre;1892035;0
05;08;02;15;00;000;SALDO INICIAL DE CAJA;10;0
05;08;02;21;00;000;GASTOS EN PERSONAL;724185;0
05;08;02;22;00;000;BIENES Y SERVICIOS DE CONSUMO;1127169;0
05;08;02;25;00;000;INTEGROS AL FISCO;10;0
05;08;02;25;99;000;Otros Integros al Fisco;10;0
05;08;02;29;00;000;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;40671;0
05;08;02;29;04;000;Mobiliario y Otros;7064;0
05;08;02;29;05;000;Máquinas y Equipos;7263;0
05;08;02;29;06;000;Equipos Informáticos;9538;0
05;08;02;29;07;000;Programas Informáticos;16806;0
05;08;02;34;00;000;SERVICIO DE LA DEUDA;10;0
05;08;02;34;07;000;Deuda Flotante;10;0
05;09;01;05;00;000;TRANSFERENCIAS CORRIENTES;10;0
05;09;01;05;02;000;Del Gobierno Central;10;0
05;09;01;05;02;201;Recuperación de Licencias Médicas - FONASA;10;0
05;09;01;08;00;000;OTROS INGRESOS CORRIENTES;2542005;0
05;09;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;64049;0
05;09;01;08;02;000;Multas y Sanciones Pecuniarias;192138;0
05;09;01;08;99;000;Otros;2285818;0
05;09;01;09;00;000;APORTE FISCAL;73696259;0
05;09;01;09;01;000;Libre;73696259;0
05;09;01;15;00;000;SALDO INICIAL DE CAJA;10;0
05;09;01;21;00;000;GASTOS EN PERSONAL;9628858;0
05;09;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;2669378;0
