Año	Mes	Moneda	Partida	Nombre Partida	Capítulo	Nombre Capítulo	Programa	Nombre Programa	Subtítulo	Nombre Subtítulo	Item	Nombre Item	Asignación	Nombre Asignación	Monto Ley Inicial	Monto Ley Vigente a AGOSTO	
2018	Agosto	DOLARES	5	MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA	31	CARABINEROS DE CHILE	1	CARABINEROS DE CHILE	32	PRÉSTAMOS	7	Por Anticipos por Cambio de Residencia			120	120	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	8	OTROS INGRESOS CORRIENTES					2.714	2.714	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	8	OTROS INGRESOS CORRIENTES	99	Otros			2.714	2.714	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	9	APORTE FISCAL					184.377	179.798	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	9	APORTE FISCAL	1	Libre			184.377	179.798	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	10	VENTA DE ACTIVOS NO FINANCIEROS					160	160	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	10	VENTA DE ACTIVOS NO FINANCIEROS	3	Vehículos			160	160	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	11	VENTA DE ACTIVOS FINANCIEROS					2.627	2.268	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	11	VENTA DE ACTIVOS FINANCIEROS	3	Operaciones de Cambio			2.627	2.268	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	12	RECUPERACIÓN DE PRÉSTAMOS					250	250	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	12	RECUPERACIÓN DE PRÉSTAMOS	7	Por Anticipos por Cambio de Residencia			250	250	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	15	SALDO INICIAL DE CAJA					0	162	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	21	GASTOS EN PERSONAL					88.858	88.367	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	22	BIENES Y SERVICIOS DE CONSUMO					42.388	38.486	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	23	PRESTACIONES DE SEGURIDAD SOCIAL					300	300	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	23	PRESTACIONES DE SEGURIDAD SOCIAL	3	Prestaciones Sociales del Empleador			300	300	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	24	TRANSFERENCIAS CORRIENTES					53.734	53.734	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	24	TRANSFERENCIAS CORRIENTES	1	Al Sector Privado			126	126	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	24	TRANSFERENCIAS CORRIENTES	1	Al Sector Privado	3	Comunidades de Chilenos en el Exterior	36	36	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	24	TRANSFERENCIAS CORRIENTES	1	Al Sector Privado	4	Consejo Chile - California	90	90	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	24	TRANSFERENCIAS CORRIENTES	3	A Otras Entidades Públicas			3.286	3.286	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	24	TRANSFERENCIAS CORRIENTES	3	A Otras Entidades Públicas	37	Programa de Actividades Específicas en el Exterior	759	759	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	24	TRANSFERENCIAS CORRIENTES	3	A Otras Entidades Públicas	614	Programa Posicionamiento de Chile en Asociaciones Estratégicas con Países Afines	203	203	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	24	TRANSFERENCIAS CORRIENTES	3	A Otras Entidades Públicas	619	Modernización de la Gestión Consular	245	245	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	24	TRANSFERENCIAS CORRIENTES	3	A Otras Entidades Públicas	625	Acercamientos Políticos y Estratégicos	166	166	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	24	TRANSFERENCIAS CORRIENTES	3	A Otras Entidades Públicas	627	Programa de Fortalecimiento de la Política Consular y Migratoria	156	156	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	24	TRANSFERENCIAS CORRIENTES	3	A Otras Entidades Públicas	629	Establecimiento y Desarrollo de Politica Cultural con Vision Global al Exterior	1.757	1.757	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	24	TRANSFERENCIAS CORRIENTES	6	A Gobiernos Extranjeros			10	10	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	24	TRANSFERENCIAS CORRIENTES	6	A Gobiernos Extranjeros	2	Departamento de Estado de Estados Unidos - Aporte Global Equality Fund	10	10	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	24	TRANSFERENCIAS CORRIENTES	7	A Organismos Internacionales			50.312	50.312	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	24	TRANSFERENCIAS CORRIENTES	7	A Organismos Internacionales	1	Organismos Internacionales	50.312	50.312	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	26	OTROS GASTOS CORRIENTES					300	300	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	26	OTROS GASTOS CORRIENTES	2	Compensaciones por Daños a Terceros y/o a la Propiedad			300	300	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	29	ADQUISICIÓN DE ACTIVOS NO FINANCIEROS					2.441	2.058	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	29	ADQUISICIÓN DE ACTIVOS NO FINANCIEROS	3	Vehículos			320	256	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	29	ADQUISICIÓN DE ACTIVOS NO FINANCIEROS	4	Mobiliario y Otros			168	134	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	29	ADQUISICIÓN DE ACTIVOS NO FINANCIEROS	5	Máquinas y Equipos			50	45	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	29	ADQUISICIÓN DE ACTIVOS NO FINANCIEROS	6	Equipos Informáticos			894	715	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	29	ADQUISICIÓN DE ACTIVOS NO FINANCIEROS	7	Programas Informáticos			709	638	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	29	ADQUISICIÓN DE ACTIVOS NO FINANCIEROS	99	Otros Activos no Financieros			300	270	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	31	INICIATIVAS DE INVERSIÓN					1.857	1.857	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	31	INICIATIVAS DE INVERSIÓN	2	Proyectos			1.857	1.857	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	32	PRÉSTAMOS					250	250	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	1	SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR	32	PRÉSTAMOS	7	Por Anticipos por Cambio de Residencia			250	250	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	8	OTROS INGRESOS CORRIENTES					106	106	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	8	OTROS INGRESOS CORRIENTES	99	Otros			106	106	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	9	APORTE FISCAL					9.821	9.733	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	9	APORTE FISCAL	1	Libre			9.821	9.733	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	11	VENTA DE ACTIVOS FINANCIEROS					297	570	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	11	VENTA DE ACTIVOS FINANCIEROS	3	Operaciones de Cambio			297	570	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	21	GASTOS EN PERSONAL					6.096	6.082	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	22	BIENES Y SERVICIOS DE CONSUMO					614	569	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	24	TRANSFERENCIAS CORRIENTES					2.625	2.898	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	24	TRANSFERENCIAS CORRIENTES	3	A Otras Entidades Públicas			2.625	2.898	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	24	TRANSFERENCIAS CORRIENTES	3	A Otras Entidades Públicas	554	Negociaciones y Administración de Acuerdos	2.209	2.209	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	24	TRANSFERENCIAS CORRIENTES	3	A Otras Entidades Públicas	557	Defensa Comercial	271	271	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	24	TRANSFERENCIAS CORRIENTES	3	A Otras Entidades Públicas	560	Profundización Inserción Económica Asia	145	145	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	24	TRANSFERENCIAS CORRIENTES	3	A Otras Entidades Públicas	561	Programa de Defensa en Arbitrajes de Inversión Extranjera	0	273	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	29	ADQUISICIÓN DE ACTIVOS NO FINANCIEROS					292	263	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	29	ADQUISICIÓN DE ACTIVOS NO FINANCIEROS	7	Programas Informáticos			292	263	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	33	TRANSFERENCIAS DE CAPITAL					300	300	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	33	TRANSFERENCIAS DE CAPITAL	1	Al Sector Privado			300	300	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	33	TRANSFERENCIAS DE CAPITAL	1	Al Sector Privado	65	Fundación Chilena del Pacífico	300	300	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	34	SERVICIO DE LA DEUDA					297	297	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	1	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	34	SERVICIO DE LA DEUDA	2	Amortización Deuda Externa			297	297	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	2	PROMOCIÓN DE EXPORTACIONES	8	OTROS INGRESOS CORRIENTES					826	826	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	2	PROMOCIÓN DE EXPORTACIONES	8	OTROS INGRESOS CORRIENTES	99	Otros			826	826	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	2	PROMOCIÓN DE EXPORTACIONES	9	APORTE FISCAL					12.143	11.041	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	2	PROMOCIÓN DE EXPORTACIONES	9	APORTE FISCAL	1	Libre			12.143	11.041	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	2	PROMOCIÓN DE EXPORTACIONES	11	VENTA DE ACTIVOS FINANCIEROS					8.061	8.778	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	2	PROMOCIÓN DE EXPORTACIONES	11	VENTA DE ACTIVOS FINANCIEROS	3	Operaciones de Cambio			8.061	8.778	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	2	PROMOCIÓN DE EXPORTACIONES	21	GASTOS EN PERSONAL					10.603	10.539	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	2	PROMOCIÓN DE EXPORTACIONES	22	BIENES Y SERVICIOS DE CONSUMO					10.306	10.007	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	2	PROMOCIÓN DE EXPORTACIONES	29	ADQUISICIÓN DE ACTIVOS NO FINANCIEROS					121	99	
2018	Agosto	DOLARES	6	MINISTERIO DE RELACIONES EXTERIORES	2	DIRECCIÓN GENERAL DE RELACIONES ECONÓMICAS INTERNACIONALES	2	PROMOCIÓN DE EXPORTACIONES	29	ADQUISICIÓN DE ACTIVOS NO FINANCIEROS	4	Mobiliario y Otros			29	23	
